diagonal;height_left;height_right;margin_low;margin_up;length
171.68;103.54;104.31;3.9;3.1;112.91
171.92;104.33;104.06;4.45;3.41;111.46
172.25;104.18;104.23;5.11;3.37;111.17
172.17;104.2;104.13;3.86;3.38;112.44
171.66;103.65;103.44;3.26;2.99;112.89
171.88;103.84;104.18;5.02;3.05;112.07
171.83;103.76;103.76;4.4;2.88;113.84
172.24;104.11;103.55;5.02;3.63;111.33
171.57;104.04;104.14;5.27;3.42;112.68
172.2;104.01;103.74;4.06;3.17;112.94
171.48;104.46;104.24;4.94;3.61;110.8
171.41;104.2;103.73;4.31;3.32;111.74
171.9;104.14;103.75;4.56;2.97;113.0
172.0;104.36;104.16;4.94;3.25;111.82
171.86;104.51;104.29;5.97;3.54;110.76
172.23;104.12;103.75;3.91;3.02;113.02
172.0;104.14;103.98;3.87;3.12;113.5
172.1;104.17;103.78;4.61;2.84;113.35
171.81;104.14;103.35;4.03;3.03;112.83
171.72;103.95;104.11;3.75;3.13;113.51
172.34;104.14;104.06;4.11;3.01;113.78
172.04;104.34;103.55;3.52;3.02;113.64
172.76;104.22;104.0;4.2;3.27;113.69
171.65;104.0;104.53;5.69;3.41;111.09
171.65;103.77;103.95;4.18;3.16;113.26
172.29;104.09;103.92;4.51;3.54;110.94
171.98;104.18;103.59;5.44;3.39;112.07
172.07;104.05;103.82;3.71;3.61;113.05
172.44;103.96;103.86;4.02;3.09;112.81
172.2;103.93;103.49;3.8;2.99;113.63
171.97;104.85;104.52;5.87;3.56;110.98
172.89;103.77;104.24;4.12;3.01;113.72
172.43;103.65;104.3;4.09;2.94;113.06
171.39;103.51;103.5;5.52;3.45;111.54
171.62;104.11;103.71;4.33;3.14;113.14
171.92;104.43;103.77;5.79;3.11;111.03
172.31;104.29;103.72;3.98;2.87;112.4
171.85;103.87;103.27;4.09;2.95;113.09
172.05;104.6;104.32;5.12;3.35;111.78
171.69;104.3;103.94;4.27;2.96;113.43
171.86;103.6;104.09;3.9;2.8;113.18
171.64;103.9;104.07;3.6;3.39;113.18
171.62;104.14;104.45;4.94;3.66;111.93
171.93;104.08;103.78;4.03;2.85;113.61
172.24;104.03;103.86;3.71;3.01;113.03
171.94;104.52;103.77;4.1;3.08;112.75
172.18;103.56;104.39;3.75;3.06;113.46
172.45;104.52;103.72;4.12;3.34;113.06
172.1;103.98;103.86;4.47;3.06;113.0
171.75;104.12;104.1;3.85;3.24;113.3
171.95;104.08;103.91;4.16;2.91;113.26
172.48;103.71;103.79;3.91;2.96;112.49
172.35;104.13;103.58;4.75;3.19;113.42
172.5;103.39;103.99;4.45;3.06;113.48
172.32;103.95;103.94;4.23;3.31;111.41
171.9;103.67;103.15;4.55;3.15;113.12
172.08;103.98;104.23;4.99;3.31;112.19
172.26;103.94;103.95;5.7;3.26;112.61
171.9;104.08;103.94;4.17;2.97;113.05
172.4;104.09;103.74;3.74;3.13;113.46
172.26;104.09;103.56;3.53;2.99;113.1
172.22;103.51;103.99;3.67;3.06;112.86
172.33;103.73;103.8;3.77;2.86;113.58
172.1;103.93;103.43;3.96;3.13;113.38
172.11;103.98;104.33;4.3;2.91;112.72
171.36;103.91;103.94;3.62;3.01;113.51
171.92;104.66;104.31;5.15;3.33;112.75
172.52;103.98;103.74;4.66;3.19;113.44
171.81;103.96;103.47;4.0;3.0;113.1
171.7;103.79;103.98;4.44;3.03;113.94
171.91;103.99;104.23;5.01;3.42;111.77
171.74;104.53;103.38;4.39;3.0;112.85
172.02;104.22;104.19;5.14;3.73;110.49
172.06;104.0;104.02;5.09;3.53;112.07
172.18;104.46;103.8;4.31;2.84;113.58
171.86;103.77;103.93;4.83;3.17;113.35
172.37;104.26;103.87;4.47;3.12;112.82
171.82;103.82;103.61;4.42;2.9;113.02
171.9;104.22;104.09;5.28;3.18;112.16
171.99;104.23;104.33;5.13;3.21;110.99
172.12;103.59;103.77;3.74;3.21;113.32
172.27;103.95;103.75;3.94;3.19;114.04
172.12;104.38;104.31;4.82;3.18;111.82
171.99;103.95;104.27;5.46;3.48;111.06
173.01;104.59;104.31;5.04;3.05;110.91
171.65;104.19;103.96;5.37;2.99;112.86
172.51;104.53;103.5;4.51;3.07;113.21
172.14;103.8;103.56;3.94;3.12;113.38
171.73;104.38;103.26;4.0;3.04;112.72
171.85;103.93;103.81;4.36;3.12;112.82
172.19;104.05;103.54;3.8;3.24;112.84
172.16;103.87;103.34;4.32;2.91;113.47
172.26;104.04;104.43;3.82;3.47;111.95
171.62;104.41;103.71;4.13;3.21;114.03
172.03;103.59;104.09;4.49;2.85;113.44
171.93;103.58;104.02;4.14;2.86;113.47
172.07;103.72;103.44;4.03;2.9;113.55
171.73;103.74;104.38;5.14;3.16;111.73
171.96;104.0;103.95;5.63;3.26;110.96
172.51;104.23;103.85;4.74;2.91;112.81
171.71;103.95;103.97;4.0;2.83;113.55
171.69;104.05;103.73;3.87;3.21;113.56
171.92;103.93;104.06;4.38;2.97;113.01
171.32;104.28;104.36;5.08;3.69;112.09
171.8;104.31;104.49;5.97;3.51;111.2
171.82;104.27;103.55;4.21;3.2;113.28
171.87;103.27;104.5;3.85;3.03;113.19
172.03;103.87;103.4;4.29;3.01;113.09
171.94;104.27;103.94;4.46;3.14;112.13
172.16;104.04;104.02;4.06;3.08;113.02
171.99;103.75;103.53;3.79;2.81;112.52
171.96;104.01;104.54;5.21;3.31;111.35
171.94;103.49;103.82;4.24;3.19;113.05
171.37;104.08;104.16;5.55;3.55;111.56
171.97;103.61;103.6;4.89;3.17;112.96
171.77;104.34;103.44;5.12;3.36;111.49
172.0;103.69;103.91;4.12;3.33;112.84
172.32;104.16;104.14;3.78;3.25;113.38
171.87;104.26;103.99;4.87;3.6;110.48
172.03;104.69;103.87;4.17;2.79;112.85
171.72;104.06;103.8;5.69;3.64;111.77
171.36;103.61;103.96;3.97;3.22;113.45
172.37;104.41;103.75;3.71;2.8;113.41
171.83;104.13;104.52;4.94;3.27;111.72
171.19;104.18;104.01;4.82;3.18;111.73
171.79;104.37;103.37;4.31;3.18;113.61
172.31;103.89;103.78;4.49;3.06;113.34
171.8;104.17;103.74;4.03;2.92;113.04
172.27;104.39;104.5;5.09;3.11;112.51
171.85;104.27;103.83;4.15;3.37;112.0
171.9;103.97;104.36;5.59;3.61;112.05
171.83;103.8;104.22;4.66;2.76;113.25
171.94;104.53;103.81;5.07;3.14;112.46
172.0;103.83;103.82;4.64;3.32;113.0
172.05;104.29;103.8;4.94;3.27;111.33
171.86;104.49;103.87;5.21;3.6;111.11
171.99;103.91;103.79;4.05;3.11;113.67
172.27;104.18;103.78;5.58;3.25;112.38
172.07;104.21;103.82;4.29;3.35;113.3
172.03;103.93;103.53;4.43;3.1;113.37
172.54;104.05;103.78;4.34;2.93;114.14
171.65;103.43;103.83;4.36;3.1;113.53
171.66;104.17;104.02;4.71;3.22;110.91
172.08;104.49;103.96;4.38;3.14;113.42
171.77;103.62;103.32;3.9;3.17;113.45
172.18;104.04;104.12;4.26;3.34;113.67
172.36;103.52;103.7;4.17;3.29;113.33
172.09;103.65;103.25;3.96;2.85;113.2
172.05;103.79;104.17;4.08;3.12;112.77
171.25;104.23;103.93;4.36;2.68;113.5
171.8;104.31;103.78;3.79;3.12;112.78
171.63;104.05;104.25;4.61;3.1;110.91
172.27;103.88;104.16;5.91;3.31;110.91
171.96;104.24;103.75;5.5;3.29;111.08
171.93;104.09;104.51;4.87;3.58;111.63
171.88;103.66;103.52;4.66;2.75;113.25
172.34;104.54;103.56;4.04;3.42;112.93
171.45;104.21;104.18;4.55;3.52;113.21
172.19;103.42;103.61;4.18;3.12;112.74
172.05;103.9;103.76;4.52;2.71;113.42
171.87;104.29;103.53;3.91;2.89;112.91
171.59;103.8;104.08;4.18;3.17;113.04
171.87;104.07;103.54;4.59;3.5;112.06
172.09;104.05;104.26;4.1;2.95;113.68
172.35;103.73;102.95;4.49;3.37;112.49
172.29;104.43;104.8;4.86;3.3;111.53
171.56;103.97;103.96;4.12;3.32;113.43
172.46;103.51;103.85;4.23;3.14;113.38
172.11;104.36;104.01;4.14;3.17;112.59
172.13;104.35;104.0;5.69;3.3;111.92
171.68;103.77;103.82;4.24;2.86;113.6
171.85;103.9;103.74;4.13;3.07;113.15
171.64;103.58;103.46;3.72;3.2;113.3
172.58;104.17;103.13;4.64;3.17;113.05
171.68;104.0;104.29;4.9;3.1;111.77
171.65;103.3;103.55;4.14;3.37;112.87
171.63;104.61;104.29;5.31;3.14;111.51
171.52;103.74;104.1;4.47;2.87;113.58
171.26;103.87;104.41;4.43;2.88;113.9
171.98;104.18;103.96;4.41;2.84;113.01
171.96;103.68;103.84;4.46;3.07;112.74
172.15;104.02;103.94;3.96;2.87;112.38
172.48;104.41;104.47;4.81;3.62;111.31
172.24;103.8;104.36;4.18;2.99;113.81
171.93;103.65;103.56;4.12;2.77;112.95
171.92;103.67;104.24;4.11;3.09;113.23
171.99;104.03;103.43;4.08;2.98;113.28
172.24;103.97;104.11;4.02;2.84;113.15
171.91;104.08;104.16;5.91;3.41;111.32
171.66;103.54;104.16;4.0;3.33;113.53
172.07;104.17;104.37;6.54;3.54;111.2
171.57;104.14;104.14;5.41;3.23;111.76
171.93;104.34;103.72;3.78;2.93;113.52
172.0;103.65;103.83;2.98;2.76;113.17
172.08;103.95;103.9;5.45;3.29;112.03
172.37;104.52;104.37;5.36;3.26;111.27
172.21;103.67;104.0;4.12;3.2;113.54
171.84;103.71;103.9;4.61;2.82;112.68
171.95;103.89;103.69;4.45;3.42;112.02
172.23;103.87;104.05;3.9;3.09;113.38
172.15;104.28;103.67;4.28;3.24;113.35
172.11;103.98;104.02;4.17;3.24;112.96
171.67;104.12;103.98;5.68;3.18;111.55
171.97;104.05;104.11;4.15;2.99;113.66
172.16;104.03;104.44;5.33;3.33;111.21
171.81;103.22;103.92;3.99;3.06;113.32
172.31;103.98;104.09;5.28;3.47;111.71
171.71;104.22;103.72;4.35;3.29;113.51
172.3;104.21;104.46;3.69;3.12;113.28
171.55;104.18;103.83;4.46;3.42;111.6
172.18;104.02;103.54;4.17;3.49;113.64
171.93;104.43;104.15;5.8;3.4;111.82
172.3;104.58;104.17;4.36;3.33;112.98
171.74;103.9;103.6;3.87;2.89;113.36
171.87;104.71;103.85;4.36;2.71;113.71
172.37;104.25;103.67;5.12;3.3;112.03
171.82;103.97;103.88;4.73;3.55;111.87
172.08;103.93;103.85;4.3;3.26;113.65
171.96;104.47;104.06;4.84;3.76;111.04
172.09;104.06;103.9;3.97;3.32;113.09
171.99;103.67;103.76;3.12;2.99;113.22
171.93;104.58;103.73;5.28;3.36;112.41
172.02;104.23;103.97;4.3;2.93;113.79
171.99;104.76;104.55;4.39;3.02;113.7
171.55;103.76;104.21;5.11;3.01;111.48
172.04;103.94;103.76;3.81;3.24;113.41
171.78;104.51;104.06;5.9;3.18;111.91
172.15;103.51;103.76;4.26;3.13;112.94
172.14;103.74;103.52;4.56;2.83;113.43
171.86;104.04;104.43;4.63;3.64;111.63
171.77;103.98;103.76;5.16;3.38;111.07
171.89;103.89;103.4;4.11;2.96;113.24
172.08;104.22;104.41;4.51;3.3;111.4
172.49;103.69;103.79;3.81;2.77;113.09
171.67;104.08;104.73;4.93;3.31;111.81
171.56;104.07;103.58;3.55;3.02;112.96
171.55;103.68;104.27;4.08;2.84;112.95
171.75;103.48;103.94;3.76;2.97;113.28
172.55;103.97;104.04;4.25;3.34;113.36
171.88;104.14;104.42;4.34;3.18;111.38
171.59;104.05;104.4;5.05;3.45;111.14
172.31;104.05;103.51;4.43;2.86;113.18
172.13;104.15;103.93;3.97;2.87;113.31
171.94;104.14;104.14;4.69;3.06;112.04
