diagonal;height_left;height_right;margin_low;margin_up;length
172.15;103.84;103.32;4.21;3.03;112.89
171.38;103.78;103.7;5.22;3.43;111.6
171.51;103.85;103.36;4.49;2.8;113.87
172.17;103.93;103.62;4.06;3.08;113.1
171.73;103.82;103.85;3.97;3.12;112.85
172.46;103.64;103.53;4.41;3.4;113.75
171.95;103.73;103.77;4.09;3.02;113.6
171.93;103.65;103.56;4.12;2.77;112.95
172.24;104.11;103.55;5.02;3.63;111.33
172.21;103.95;103.74;3.79;2.99;113.51
172.31;103.98;103.53;4.04;2.97;113.47
172.34;104.18;103.85;4.58;3.26;112.81
171.98;104.33;103.61;3.68;3.14;113.41
172.09;104.15;104.17;4.15;3.4;113.85
171.94;103.97;103.84;3.95;3.05;112.88
172.04;103.82;103.99;3.88;3.14;113.23
171.8;104.17;103.8;4.67;2.88;113.03
172.14;103.74;103.52;4.56;2.83;113.43
171.98;103.75;103.83;4.39;3.32;112.97
171.66;104.0;103.47;3.9;2.99;112.65
171.64;104.45;103.97;4.16;3.23;113.67
172.28;104.62;103.8;4.08;3.08;113.26
172.18;104.02;103.54;4.17;3.49;113.64
171.26;103.59;103.8;4.11;3.25;113.03
172.42;104.07;103.73;4.23;3.11;113.27
172.13;104.08;103.64;3.93;2.82;112.85
172.58;103.99;103.63;4.43;3.07;112.79
172.16;104.1;103.78;3.84;3.03;113.13
171.99;103.67;103.76;3.12;2.99;113.22
171.9;104.08;103.94;4.17;2.97;113.05
172.45;103.94;103.9;4.28;2.85;113.37
172.11;104.14;104.15;4.84;3.28;110.98
172.16;103.56;103.64;4.24;3.01;113.38
171.91;103.99;103.5;3.41;2.92;113.02
171.28;104.2;103.89;4.29;3.06;112.56
172.52;103.9;104.03;3.97;2.98;113.3
171.7;103.75;103.4;4.47;3.28;113.57
171.75;104.34;104.58;4.26;3.29;110.98
172.53;103.8;103.82;4.64;3.28;113.54
171.67;103.88;103.94;4.2;2.93;112.84
171.86;104.7;103.62;4.01;3.34;112.89
172.26;104.03;103.98;3.97;2.97;112.89
172.32;103.97;104.33;4.06;3.08;113.73
171.65;104.41;104.06;5.37;3.56;111.36
171.97;104.0;103.37;3.86;3.21;112.87
171.44;103.52;103.49;4.09;3.12;113.23
172.27;104.06;103.71;3.74;3.21;113.48
171.88;103.93;103.72;4.88;3.26;113.11
171.91;103.8;103.99;6.14;3.32;110.78
171.53;103.69;103.51;3.97;3.08;112.71
172.1;103.95;103.72;4.49;3.07;113.15
171.5;104.03;103.97;3.26;3.54;113.24
171.74;103.25;104.07;3.8;2.95;113.07
172.12;104.03;104.02;4.38;2.83;113.03
172.0;104.32;104.26;4.53;3.04;112.93
171.99;104.02;104.06;5.34;3.61;112.12
171.57;103.58;104.06;3.86;2.94;113.03
171.78;104.33;103.58;6.01;3.26;111.3
172.45;103.78;103.79;3.9;2.87;112.34
171.81;104.17;103.72;4.17;3.05;112.49
172.21;103.25;103.78;4.48;3.0;113.25
172.41;104.14;104.06;4.45;2.94;113.98
171.66;103.75;104.07;4.01;2.98;113.47
171.82;103.49;103.47;4.79;3.11;113.41
172.02;104.18;104.16;3.97;3.23;113.64
172.37;104.26;103.87;4.47;3.12;112.82
171.9;103.67;103.15;4.55;3.15;113.12
172.37;104.52;104.37;5.36;3.26;111.27
171.21;103.92;104.29;5.18;3.12;111.7
172.17;103.75;103.29;4.43;2.88;113.38
171.75;103.89;103.81;3.64;2.92;113.48
172.14;104.07;103.83;3.79;3.14;113.85
172.05;104.08;103.66;4.49;3.24;113.23
171.99;104.76;104.55;4.39;3.02;113.7
172.04;103.95;104.09;4.48;2.61;112.94
172.09;104.2;103.85;4.87;3.04;113.24
171.61;104.04;104.06;6.19;3.08;110.73
172.03;103.59;104.09;4.49;2.85;113.44
171.72;103.95;104.11;3.75;3.13;113.51
171.35;104.62;103.58;4.32;2.88;113.42
171.78;104.31;103.82;6.19;3.25;111.14
171.88;104.12;103.86;4.07;3.41;113.5
172.36;104.34;103.7;4.22;3.08;112.96
172.07;104.05;103.82;3.71;3.61;113.05
171.98;104.33;104.28;4.86;3.45;111.55
172.1;103.73;103.33;3.72;3.02;113.5
171.97;104.19;104.05;4.79;3.18;111.46
